Functional Area,Feature File,Scenario
ets-transactions,ets_reconciliation,Extension 2 Reconciliation fails due to missing account in Transaction Log
ets-transactions,ets_reconciliation,Extension 3 Reconciliation fails due to missing units in Registry
ets-transactions,ets_reconciliation,Extension 4 Reconciliation fails due to missing units in Transaction Log
ets-transactions,ets_reconciliation,Extension 5 Reconciliation fails due to different totals Registry
ets-transactions,ets_reconciliation,Extension 6 Reconciliation fails due to different totals Transaction Log
ets-transactions,ets_reconciliation,Extension 7 Reconciliation fails due to different unit types
ets-transactions,excess-auction-return,As SRA or AR user I can trigger a Return excess auction transaction task and units are correctly transferred upon task approval
ets-transactions,excess-auction-return,As SRA user I cannot trigger a Return excess auction transaction task when acquiring or transferring account is ALL TRANSACTIONS RESTRICTED
ets-transactions,excess-auction-return,As SRA user I cannot trigger a Return excess auction transaction task when transferring account has closed status
ets-transactions,excess-auction-return,As JRA user I cannot trigger a Return excess auction transaction task
ets-transactions,excess-auction-return,As SRA user I cannot trigger a Return excess auction transaction task when I set invalid values
ets-transactions,excess-auction-return,As SRA user while implementing a Return excess auction transaction I see data retained while navigating backwards
ets-transactions,excess-auction-return,As SRA user I can cancel a Return excess auction transaction proposal
ets-transactions,issue-UK-allowances,Senior admin user has access to ETS Administration Propose to issue UK allowances
ets-transactions,issue-UK-allowances,As Authority user I can propose to issue UK allowances the quantity must be a positive number
ets-transactions,issue-UK-allowances,As Authority user I can cancel an issue UK allowances proposal
ets-transactions,issue-UK-allowances,As Authority user I can navigate back during an issue UK allowances proposal
ets-transactions,issue-UK-allowances,As Authority user during an issue UK allowances proposal I cannot continue without having set a quantity value
ets-transactions,issue-UK-allowances,As Authority user during an issue UK allowances proposal I cannot exceed max quantity limit of entire ets phase
ets-transactions,issue-UK-allowances,As Authority user during an issue UK allowances proposal I must be warned when I exceed max quantity limit of a year
ets-transactions,issue-UK-allowances,As I user I can change quantity amount during an issue uk allowances proposal
ets-transactions,issue-UK-allowances,As I user I cannot submit an issue uk allowances proposal without setting otp
ets-transactions,issue-UK-allowances,As I user I can submit an issue uk allowances proposal
ets-transactions,request-transfers,As SRA I can request a Transfer of allowances
ets-transactions,request-transfers,As admin I cannot propose transaction to an acquiring account of PROPOSED status
ets-transactions,request-transfers,As an ar I can cancel a delayed ets transfer
ets-transactions,surrender-reversal,As SRA user I can trigger a Reverse Surrender transaction
ets-transactions,surrender-reversal,As SRA user I cannot trigger a Reverse Surrender transaction of ALL TRANSACTIONS RESTRICTED
ets-transactions,surrender-reversal,As AR  user I cannot trigger a Reverse Surrender transaction
ets-transactions,surrender-reversal,As JRA user I cannot trigger a Reverse Surrender transaction
ets-transactions,surrender-reversal,As SRA user I cannot trigger a Reverse Surrender transaction under a Trading or KP account
ets-transactions,surrender-reversal,As SRA user I cannot trigger a Reverse Surrender transaction to acquiring account with status CLOSED or TRANSFER PENDING or FULLY SUSPENDED are not allowed
ets-transactions,surrender-reversal,As SRA user I cannot trigger a Reverse Surrender transaction after 14 days
ets-transactions,surrender-reversal,As SRA user I can cancel a Reverse Surrender transaction
ets-transactions,surrender,As SRA user I can successfully propose a Surrender transaction and then a correct Transaction Proposal task is created
ets-transactions,surrender,As a SRA user I cannot trigger a Surrender transaction of ALL TRANSACTIONS RESTRICTED
ets-transactions,surrender,As SRA user I can successfully see that correct units are transferred to UK Surrender Account after Surrender transaction proposal task approval
ets-transactions,surrender,As AR user I can trigger a Surrender transaction
ets-transactions,surrender,As a AR user I cannot trigger a Surrender transaction under a Trading or KP account
ets-transactions,surrender,As a SRA user I cannot trigger a Surrender transaction under a Trading or KP account
ets-transactions,surrender,As AR user I cannot trigger a Surrender transaction under a SUSPENDED or PARTIALLY SUSPENDED accounts
ets-transactions,surrender,As JRA user I cannot trigger a Surrender transaction
ets-transactions,surrender,As AR user I cannot trigger a Surrender transaction when I set invalid quantity values or leave mandatory fields empty
ets-transactions,surrender,As SRA user while implementing a Surrender transaction I see data retained while navigating backwards
ets-transactions,surrender,As SRA user I can cancel a Surrender transaction triggering
ets-transactions,transaction-log-business-checks,Main success scenario Transfer of Allowances
ets-transactions,transaction-log-business-checks,Extension 1 The transferring account number does not exist in Transaction Log
ets-transactions,transaction-log-business-checks,Extension 2 The acquiring account number does not exist in Transaction Log
ets-transactions,transaction-log-business-checks,Extension 3 The requested quantity exceeds the current account balance of the transferring account in the Transaction Log for unit type being transferred
ets-transactions,transaction-log-business-checks,Extension 4 The quantity of allowances issued must not exceed the issuance limit set in Transaction Log
ets-transactions,transaction-log-business-checks,Extension 5 The transferring account in the Transaction Log does not hold serial blocks being transferred
ets-transactions,upload-allocation-table,Ensure that as senior admin user have correct access to ETS Administration menu items
ets-transactions,upload-allocation-table,As Authority user I cannot submit a NAP when the upload process does not meet appropriate criteria
ets-transactions,upload-allocation-table,As Authority user I can submit a NAP when the upload process meets appropriate criteria
ets-transactions,upload-allocation-table,As Authority user I cannot submit a NAP when allocation year is not within limits
kp-transactions,kp-ambition-cancellation,As senior admin user I cannot trigger an Ambition increase cancellation transaction when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-ambition-cancellation,As senior admin user I can trigger an Ambition transaction
kp-transactions,kp-ambition-cancellation,As senior admin user while implementing Ambition increase cancellation triggering I see data retained while navigating backwards
kp-transactions,kp-ambition-cancellation,As senior admin user I can cancel a Ambition increase cancellation transaction triggering
kp-transactions,kp-ambition-cancellation,As senior admin user I cannot propose an Ambition increase cancellation transaction while another transaction of the same type is pending
kp-transactions,kp-art37-cancellation,As senior admin user I cannot trigger an Art37Cancellation transaction when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-art37-cancellation,As senior admin user I can trigger an Art37 Cancellation transaction
kp-transactions,kp-art37-cancellation,As senior admin user while implementing Art37ter cancellation triggering I see data retained while navigating backwards
kp-transactions,kp-art37-cancellation,As senior admin user I can cancel a Art37ter cancellation transaction triggering
kp-transactions,kp-art37-cancellation,As senior admin user I cannot propose an Art37ter cancellation transaction while another transaction of the same type is pending
kp-transactions,kp-carryover-aau,As senior admin user I cannot trigger carryover AAU transaction when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-carryover-aau,As senior admin user I can trigger carryover AAU transaction
kp-transactions,kp-carryover-aau,As senior admin user while implementing carryover AAU triggering I see data retained while navigating backwards
kp-transactions,kp-carryover-aau,As senior admin user I can cancel a carryover AAU transaction triggering
kp-transactions,kp-carryover-aau,As senior admin user propose transaction button is available after a cancel
kp-transactions,kp-carryover-aau,As AR enrolled with INITIATE AND APPROVE access rights I cannot see PARTY HOLDING ACCOUNT accounts and subsequently Propose transaction
kp-transactions,kp-carryover-aau,As AR enrolled with INITIATE AND APPROVE access rights I cannot carryover AAU regarding non gov accounts
kp-transactions,kp-carryover-cer-eru,As senior admin user I cannot trigger carryover CER transaction when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-carryover-cer-eru,As senior admin user I can trigger carryover CER transaction
kp-transactions,kp-carryover-cer-eru,As senior admin user while implementing carryover CER triggering I see data retained while navigating backwards
kp-transactions,kp-carryover-cer-eru,As senior admin user I can cancel a carryover CER transaction triggering
kp-transactions,kp-carryover-aau,As senior admin user propose transaction button is available after a cancel
kp-transactions,kp-carryover-cer-eru,As AR enrolled with an access rights I cannot see PARTY HOLDING ACCOUNT accounts and subsequently Propose transaction
kp-transactions,kp-carryover-cer-eru,As AR enrolled with INITIATE AND APPROVE access rights I cannot carryover CER regarding non gov accounts
kp-transactions,kp-expiry-date-change,As senior admin user I cannot trigger an Expiry Date Change transaction when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-expiry-date-change,As senior admin user I can trigger an Expiry Date Change transaction
kp-transactions,kp-expiry-date-change,As senior admin user while implementing an Expiry Date Change transaction I see data retained while navigating backwards
kp-transactions,kp-expiry-date-change,As senior admin user I can cancel an Expiry Date Change transaction triggering
kp-transactions,kp-itl-notifications-and-messages,As a Senior Admin I can see a home page alert when there is at least one itl notification
kp-transactions,kp-itl-notifications-and-messages,As a Senior Admin I can access ITL notifications
kp-transactions,kp-itl-notifications-and-messages,As a Senior Admin I can send ITL messages
kp-transactions,kp-itl-notifications-and-messages,As a Senior Admin I send and then access ITL messages
kp-transactions,kp-itl-notifications-and-messages,I cannot send an empty ITL message
kp-transactions,kp-itl-notifications-and-messages,Ensure that ITL message search filters work as expected
kp-transactions,kp-mandatory-cancellation,As senior admin user I cannot trigger a mandatory cancellation transaction when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-mandatory-cancellation,As senior admin user I can trigger a mandatory cancellation transaction
kp-transactions,kp-mandatory-cancellation,As senior admin user while implementing a mandatory cancellation transaction I see data retained while navigating backwards
kp-transactions,kp-mandatory-cancellation,As senior admin user I can cancel a mandatory cancellation transaction triggering
kp-transactions,kp-mandatory-cancellation,As senior admin user I cannot propose a mandatory cancellation transaction while another transaction of the same type is pending
kp-transactions,kp-replacement,As senior admin user I cannot trigger a Replacement transaction when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-replacement,As senior admin user I can trigger a Replacement transaction
kp-transactions,kp-replacement,As senior admin user while implementing a Replacement transaction I see data retained while navigating backwards
kp-transactions,kp-replacement,As senior admin user I can cancel a Replacement transaction triggering
kp-transactions,kp-retirement,As senior admin user I cannot trigger an Retirement transaction when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-retirement,As senior admin user I can trigger an retirement transaction
kp-transactions,kp-retirement,As senior admin user I can propose an Retirement transaction while another transaction of the same type is pending
kp-transactions,kp-search-transactions-user-admin,As user according to my access rights I can see Transactions menu
kp-transactions,kp-search-transactions-user-admin,As admin user I can access Transactions screen
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Transaction ID filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Transaction Type filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Transaction Status filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Transaction last update date From filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Transaction last update date To filter
kp-transactions,kp-search-transactions-user-admin,As user I can filter transaction list using Transferring Account filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Acquiring Account filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Acquiring Account Type filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Transferring Account Type filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Unit Type filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Transaction proposal date From filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Transaction proposal date To filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can filter transaction list using Initiator or Approver user ID filter
kp-transactions,kp-search-transactions-user-admin,As admin user I can initialize filters after a search
kp-transactions,kp-search-transactions-user-admin,As admin user I can download as CSV file transaction list
kp-transactions,kp-search-transactions-user-non-admin,Security front end test for transaction access via ad hoc url get
kp-transactions,kp-search-transactions-user-non-admin,As a non admin user according to my access rights I have appropriate visibility of Transactions menu
kp-transactions,kp-search-transactions-user-non-admin,As enrolled user I can access Transactions screen
kp-transactions,kp-search-transactions-user-non-admin,As authorised representative I have appropriate visibility of transactions results
kp-transactions,kp-search-transactions-user-non-admin,As user when I search for a transaction I see results in correct sorting
kp-transactions,kp-transaction-proposal-approval,As a Junior Admin I dont have permission to claim KP Issuance transaction proposal task
kp-transactions,kp-transaction-proposal-approval,As a non admin user I have correct transaction tasks visibility according to my access rights
kp-transactions,kp-transaction-proposal-approval,As admin user I have correct transaction tasks visibility according to my access rights
kp-transactions,kp-transaction-proposal-approval,As a Junior Admin I can access a KP Issuance proposal task but I cannot complete it
kp-transactions,kp-transaction-proposal-approval,As senior admin I can assign task to another admin
kp-transactions,kp-transaction-proposal-approval,As senior admin I can view more info about kp task
kp-transactions,kp-transaction-proposal-approval,As senior admin I can view task history and comments
kp-transactions,kp-transaction-proposal-approval,As senior admin I can APPROVE KP issuance transaction proposal with or without a comment
kp-transactions,kp-transaction-proposal-approval,As AR enrolled I can APPROVE KP issuance transaction proposal
kp-transactions,kp-transaction-proposal-approval,As an ar I can cancel a delayed kp transfer
kp-transactions,kp-transaction-proposal-approval,As senior admin I cannot approve task when I am both claimant and initiator due to 4 eyes security principle
kp-transactions,kp-transaction-proposal-approval,As senior admin I must enter the correct password to complete task
kp-transactions,kp-transaction-proposal-approval,As senior admin I cannot REJECT KP issuance transaction proposal without setting a reject comment
kp-transactions,kp-transaction-proposal-approval,As senior admin I can REJECT KP issuance transaction proposal
kp-transactions,kp-transaction-proposal-approval,As senior admin I can reject MY OWN task as when I am both claimant and initiator no 4 eyes principle applied
kp-transactions,kp-transaction-view,As admin user I have the correct transaction details visibility for defined transaction status and AR access rights
kp-transactions,kp-transaction-view,As a non admin user I have the correct transaction details visibility for defined transaction status and AR access rights
kp-transactions,kp-transfer-to-sop-for-first-external-transfer,As senior admin user I cannot trigger a transfer to SOP for first external transfer when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-transfer-to-sop-for-first-external-transfer,As senior admin user I can trigger a transfer to SOP for first external transfer
kp-transactions,kp-transfer-to-sop-for-first-external-transfer,As senior admin user I cannot propose a transfer to SOP for first external transfer while another transaction of the same type is pending
kp-transactions,kp-units-issue-task,As a admin I can access the Internal Transfer task ensuring that data shown is correct when I am or I am not initiator
kp-transactions,kp-units-issue-task,As a admin I cannot complete Internal Transfer task when I am initiator because of 4 eyes principle
kp-transactions,kp-units-issue-task,As senior admin I can complete Internal Transfer task when I am NOT initiator
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units period screen I must fill mandatory fields
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units period screen I cannot see a CLOSED account
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units period screen I can navigate to next screen
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units period screen I can navigate to previous screen
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units period screen I can navigate to next screen with correct data
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units units screen I must fill mandatory fields
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units units screen I must specify at least one non zero quantity entering 1 value only
kp-transactions,kp-units-issue,As senior admin when I access Propose KP units units screen I can navigate to next screen
kp-transactions,kp-units-issue,The quantity of AAUs issued must not exceed allowed quantity for Commitment Period
kp-transactions,kp-units-issue,The quantity of RMUs issued must not exceed allowed quantity for that LULUCF activity type and Commitment Period
ets-transactions,allocation-return,quantity must be a positive number without decimal places
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units review screen I can finalise operation
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units review screen when I finalise operation a transaction task is generated
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units review screen I can finalise operation Error for blank password
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units review screen I can finalise operation Error for invalid password
kp-transactions,kp-units-issue,As a REG ADMIN SENIOR when I access Propose KP units review screen I can finalise the operation when Transactions to accounts with other pending transactions of same type are not allowed
kp-transactions,kp-units-transfer,As SRA user I can ensure that I see correct data regarding Inbound transactions
kp-transactions,kp-units-transfer,As senior admin user I cannot implement a internal transfer proposal when I have zero balance and TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin I cannot implement an internal transfer without Transfer KP units option when TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin I cannot do an internal transfer proposal if I dont click unit type checkbox when TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin I cannot implement an internal transfer proposal if I dont enter a unit type value when TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin I cannot do an internal transfer proposal if I enter a negative unit type value or a symbol when TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin I can continue to Choose acquiring account of internal transfer if I enter correct quantity when TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin I have to complete ALL acquiring account fields for internal transfer of account when TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,The transaction cannot be completed when transfers outside trusted account list business rule parameter is false
kp-transactions,kp-units-transfer,As senior admin I cannot choose an acquiring account of PROPOSED account status
kp-transactions,kp-units-transfer,As senior admin I can specify acquiring account of internal transfer while trying to propose a transaction when TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin user I can cancel proposal for a transaction proposal of an internal transfer while trying to propose a transaction when TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin user I can cancel a transaction proposal of an internal transfer while trying to propose a transaction when TAL is optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin user I can see already set data being retained while trying to implement a internal transaction proposal for TAL optional for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin user I can propose an internal kp transfer for TAL optional or mandatory for Outbound transaction
kp-transactions,kp-units-transfer,As AR enrolled I can implement transaction proposal of internal transfer for TAL optional or mandatory for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin I can implement a transaction proposal of external transfer with or without comment and TAL optional or mandatory for Outbound transaction
kp-transactions,kp-units-transfer,As AR enrolled I can implement transaction proposal of external transfer with or without comment when TAL optional or mandatory for Outbound transaction
kp-transactions,kp-units-transfer,As senior admin I have correct visibility of Propose transaction button as per account status case of Outbound transaction
kp-transactions,kp-units-transfer,As AR enrolled I have correct visibility of Propose transaction button as per account status case of Outbound transaction
kp-transactions,kp-voluntary-cancellation,As senior admin user I cannot trigger an AAU Voluntary cancellation transaction when I set invalid quantity values or leave mandatory fields empty
kp-transactions,kp-voluntary-cancellation,As AR user I can trigger a RMU Voluntary cancellation transaction from my PERSON HOLDING ACCOUNT
kp-transactions,kp-voluntary-cancellation,As AR user I can trigger an ERU Voluntary cancellation transaction from my FORMER OPERATOR HOLDING ACCOUNT
kp-transactions,kp-voluntary-cancellation,As senior admin user while implementing CER Voluntary cancellation triggering I see data retained while navigating backwards
kp-transactions,kp-voluntary-cancellation,As senior admin user I can cancel a tCER Voluntary cancellation transaction triggering
kp-transactions,kp-voluntary-cancellation,As senior admin user I cannot propose a lCER Voluntary cancellation transaction while another transaction of the same type is pending
reporting,ets-search-reports,As AR or Authority I do not have access to the Reports menu
reporting,ets-search-reports,As admin user I have access to the Reports menu
reporting,ets-search-reports,As SRA I can execute the Search report
reporting,public-report-page,As unregistered user I can access public report page of kp or ets via landing page link
reporting,public-report-page,As unregistered user I can navigate back to landing page from public kp or ets reports page
security,example,Example test case for Registry API
task-management,junior-admin-validation-account-opening,As a Junior admin I cannot claim account opening task
task-management,junior-admin-validation-account-opening,As a Junior admin I cannot comment on a task that I have not claimed and assigned
task-management,junior-admin-validation-account-opening,As a Junior admin I cannot Approve task initiated by me
task-management,junior-admin-validation-account-opening,As a Junior admin I can Approve task initiated by another user
task-management,junior-admin-validation-account-opening,As a Junior admin I can Reject task
task-management,junior-admin-validation-account-opening,As a Junior admin I can view more info about task
task-management,junior-admin-validation-account-opening,As a Junior admin I can view task history and comments
task-management,junior-admin-validation-account-opening,As a Junior admin I can view the details of AR who are attached to opening request
task-management,junior-admin-validation-account-opening,As a Junior admin I can change ah but I cannot complete the task
task-management,junior-admin-validation-account-opening,As a Junior admin I can change regulator
task-management,junior-admin-validation-account-opening,As a Junior Registry Admin I can assign a task to another Junior admin
task-management,junior-admin-validation-account-opening,As a Junior Registry Admin I cannot assign a task to a senior admin
task-management,junior-admin-validation-account-opening,As a junior admin I can see events generated by spinoff requests such as print letter
task-management,senior-admin-validation-account-opening,As senior admin I can return to task list and assign task to another admin
task-management,senior-admin-validation-account-opening,As senior admin I can view more info about account opening task
kp-transactions,kp-transaction-proposal-approval,As senior admin I can view task history and comments
task-management,senior-admin-validation-account-opening,As senior admin I can view the details of AR who are attached to opening request
task-management,senior-admin-validation-account-opening,As senior admin I can APPROVE the opening request when I am not initiator
task-management,senior-admin-validation-account-opening,As senior admin I cannot approve the opening request when I am initiator
task-management,senior-admin-validation-account-opening,As senior admin I can REJECT opening request
task-management,senior-admin-validation-account-opening,As senior admin I can change ah
task-management,senior-admin-validation-account-opening,As senior admin I can change regulator
task-management,senior-admin-validation-account-opening,As senior admin I can see events generated by spinoff requests such as print letter
task-management,task-list,Security front end test for task access via ad hoc url get
task-management,task-list,As a admin I can see task list headers
task-management,task-list,As a admin when I refresh page then data is retained
task-management,task-list,As a admin under the task list screen I can hide filters
task-management,task-list,As admin user I can filter task list for a particular account using account number
task-management,task-list,As a non admin user I dont see task list for a particular account using account number filter
task-management,task-list,As user I can filter task list for a particular claimant
task-management,task-list,As a non admin user I dont see task list after filtering using a particular claimant
task-management,task-list,As admin user I can filter task list for a particular ah
task-management,task-list,As a non admin user I cannot see task list after filtering for a particular ah
task-management,task-list,As admin user I can filter task list for a particular request ID
task-management,task-list,As a non admin user I cannot see task list filtering using a particular request ID
task-management,task-list,As admin user I can filter task list for a particular task status
task-management,task-list,As a non admin user I cannot see task list for a particular task status filter
task-management,task-list,As user I cannot fill comments in completed tasks
task-management,task-list,As admin user I can filter task list for a particular task type
task-management,task-list,As a non admin user I cannot see task list using a particular task type filter
task-management,task-list,As admin user I can filter task list for a particular initiator
task-management,task-list,As a non admin user I cannot see task list filtering for a particular Name of initiator
task-management,task-list,As admin user I can filter task list for a particular Account type
task-management,task-list,As a non admin user I cannot see task list filtering for a particular Account type
task-management,task-list,As admin user I can filter task list for a particular Task outcome
task-management,task-list,As a non admin user I cannot see task list filtering for a particular Task outcome
task-management,task-list,As admin user I can filter task list for a Initiated or claimed by role
task-management,task-list,As a non admin user I cannot filter for a Initiated or claimed by role
task-management,task-list,As admin user I can filter task list for a particular transaction id
task-management,task-list,As a non admin user I can filter task list for a particular transaction id
task-management,task-list,As senior admin user I can filter task list for a particular date
task-management,task-list,As senior admin user I get an error when I search using a filled partially date
task-management,task-list,As user I can expand my search to include end user tasks as Admin user
task-management,task-list,As user I cannot expand my search to include end user tasks as Non Admin user
task-management,task-list,As user I see results shown in descending order after task search after returning back from a task
task-management,task-list,As user I can CLAIM one task which is not already claimed and The assignee becomes the claimant of task
task-management,task-list,As user I can CLAIM multiple tasks of same type
task-management,task-list,As user I can CLAIM one task which is already claimed by another user
task-management,task-list,As user I can CLAIM one task which is already claimed by me only if i leave a comment
task-management,task-list,As user I can CLAIM multiple tasks of same type which are already claimed case of 2 tasks
task-management,task-list,As user I cannot CLAIM multiple tasks of DIFFERENT type which are already claimed case of 2 tasks
task-management,task-list,As user I can claim already claimed task when NO claim comment is added
task-management,task-list,As user I can claim UNCLAIMED task when NO claim comment is added
task-management,task-list,As user I cannot claim CLAIMED task when NO claim comment is added
task-management,task-list,As user I cannot CLAIM tasks of different types for 2 tasks which are NOT claimed
task-management,task-list,As user I cannot apply CLAIM functionality when no task is selected
task-management,task-list,As a admin I can ASSIGN one task which is not already claimed and The assignee becomes the claimant of task
task-management,task-list,As an admin I can ASSIGN two tasks of same type
task-management,task-list,As a admin I cannot ASSIGN task when user or comment is missing
task-management,task-list,As a admin I cannt ASSIGN one or more tasks of different types
task-management,task-list,As a junior admin I cant ASSIGN a task to a senior admin
task-management,task-list,As senior admin user When searching by Request ID system also displays any spinoff tasks
user-registration,check-answers-and-submit,As user I would like to see my phone number in international format
user-registration,check-answers-and-submit,As user when I click on link Change I navigate to respective screen
user-registration,check-answers-and-submit,As a not registered user I can register
user-registration,check-answers-and-submit,As user I can be notified when I cannot submit due to technical issues
user-registration,choose-password-and-memorable-phrase,As user I can successfully set a memorable phrase
user-registration,choose-password-and-memorable-phrase,As user I cannot continue without having set a memorable phrase
user-registration,choose-password-and-memorable-phrase,As user I cannot continue when I set invalid characters in memorable phrase
user-registration,choose-password-and-memorable-phrase,As user I can submit a valid password
user-registration,choose-password-and-memorable-phrase,As user I can select passwords that are at least 8 characters long
user-registration,choose-password-and-memorable-phrase,As user I should not be allowed to use weak or invalid characters passwords
user-registration,choose-password-and-memorable-phrase,As user I must verify password that I have already provided by typing it again
user-registration,email-registration,As a not registered user I cannot enter an email address longer than 256 characters
user-registration,email-registration,As a not registered user I can click email verification link
user-registration,email-registration,As a not registered user once I register to system then an event is generated
user-registration,email-registration,As a not registered user when I submit my email address I successfully receive an email message
user-registration,email-registration,As a not registered user I can navigate from landing page to start registration page
user-registration,email-registration,As a not registered user I can see the correct screen when registry application is down
user-registration,email-registration,As a not registered user I can access Verify your email screen
user-registration,email-registration,As a user I must be prevented or allowed to click email verification link before it expires
user-registration,email-registration,As a not registered user I cannot click email verification link after it expires
user-registration,enroll-user,As validated user user I can access Enter Registry Activation Code screen
user-registration,enroll-user,As validated user user I can register my self
user-registration,enroll-user,As validated user user I provide an invalid activation code
user-registration,enroll-user,As validated user user I provide an expired activation code
user-registration,first-time-sign-in,As unregistered user implement registration and sign in using 2FA by SCANNING QR CODE setup for first sign in using correct algorithm within time allowed
user-registration,first-time-sign-in,As admin user I can see a New OTP has been activated event generated after a new registered user first time sign in
user-registration,first-time-sign-in,As unregistered user implement registration and sign in using MANUAL 2FA setup for first sign in using correct algorithm within time allowed
user-registration,first-time-sign-in,As unregistered user implement registration I cannot sign in when verification code is incorrect
user-registration,first-time-sign-in,As unregistered user implement registration I cannot sign in when algorithm hash is not sha256
user-registration,first-time-sign-in,As unregistered user implement registration I cannot sign in when otp type is hotp instead of totp
user-registration,first-time-sign-in,As unregistered user implement registration I cannot sign in when digits generated are 8 instead of 6
user-registration,first-time-sign-in,As unregistered user implement registration I can sign in when verification code is set 29 seconds later
user-registration,first-time-sign-in,As unregistered user implement registration I cannot sign in when verification code is set 31 seconds later
user-registration,my-profile,As validated user user I can view my own user details
user-registration,my-profile,As validated user user I can view my own user details regarding already existing documents
user-registration,my-profile,As validated user user I can access account page by using view my own user details screen
user-registration,personal-details-registration,As user I can successfully enter my personal details
user-registration,personal-details-registration,As user I can register only if I am over 18 years old
user-registration,personal-details-registration,As user I cannot submit empty mandatory fields for country uk
user-registration,personal-details-registration,As user I can submit empty postcode field for country not equals to uk
user-registration,personal-details-registration,As user when I come back from Enter Work Contact Details screen I see data retained
user-registration,request-new-registry-activation-code,As validated user user I can request a new registry activation code because current code is not valid
user-registration,request-new-registry-activation-code,As validated user user I can request a new registry activation code because I have not received the email with initial code
user-registration,request-new-registry-activation-code,As validated user user I cannot requesting a new registry activation code because there is another pending request for a new code
user-registration,request-new-registry-activation-code,As validated user user I cannot requesting a new registry activation code because current code has not expired yet
user-registration,sign-in,As user I can sign in successfully
user-registration,sign-in,As user I cant sign in if I dont submit my credentials
user-registration,sign-in,As user I enter incorrect credentials
user-registration,sign-in,As a suspended or deactivated or pending deactivation user I cannot sign in Registry
user-registration,sign-in,As user I can access Sign in screen
user-registration,sign-in,As user I can navigate to registration page
user-registration,sign-in,As user having my account locked I must wait until account is unlocked again
user-registration,sign-in,As user having Y unsuccessful password attempts my account should be temporarily locked for X minutes
user-registration,sign-in,As user having multiple open sessions in the system when I sign out from first one then I should be invalidated to others also
user-registration,sign-in,As a System I should support a maximum of 5 sign in requests per second
user-registration,sign-out,As user I can sign out from registry
user-registration,sign-out,As user I am automatically signed out when I am inactive for 30 minutes
user-registration,sign-out,As user I can sign in after I am automatically signed out when I am inactive for 10 minutes
user-registration,task-print-letter,As a admin I can access Print letter with registry activation code task
user-registration,task-print-letter,As a admin in Checking Tasks Comments Add or Clear Comment section I can enter comments to task
user-registration,task-print-letter,As a admin I can see clickable Download button in Print letter with registry activation code task
user-registration,task-print-letter,As a admin I can access Print letter with registry activation code task
user-registration,task-print-letter,As a admin in Checking Tasks Complete task sector I can complete Print letter with registry activation code task
